,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Mexico
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,West Virginia
36,Wisconsin
37,Wyoming
